name,primary_amide_sum,secondary_amide_sum,tertiary_amide_sum,ester_sum,carbonyl_sum,logP_sum,MR_sum,dbratio_sum,aromatic_rings_sum,dbonds_sum,abonds_sum,primary_amide_mean,secondary_amide_mean,tertiary_amide_mean,ester_mean,carbonyl_mean,logP_mean,MR_mean,dbratio_mean,aromatic_rings_mean,dbonds_mean,abonds_mean
ic5b00217_si_002_clean,0.0,0.0,0.0,2.0,2.0,-3.4972000000000003,22.085999999999995,-0.6666666666666667,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,-3.4972000000000003,22.085999999999995,-0.6666666666666667,0.0,2.0,0.0
WOWGUK_clean,0.0,0.0,0.0,0.0,0.0,0.3859999999999999,9.666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859999999999999,9.666,0.0,0.0,1.0,0.0
DIBXAP_clean,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,-3.125666666666667,30.365,-0.7777777777777778,0.6666666666666666,2.3333333333333335,3.6666666666666665,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,-3.125666666666667,30.365,-0.7777777777777778,0.6666666666666666,2.3333333333333335,3.6666666666666665
KEVPEH_clean,0.0,0.0,0.0,0.0,0.0,-1.8916000000000006,55.86100000000002,-0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8916000000000006,55.86100000000002,-0.9090909090909091,0.0,0.0,0.0
FERVEF_clean,0.0,0.0,0.0,0.0,0.0,0.42449000000000003,53.956499999999984,-0.46875,1.5,1.5,9.0,0.0,0.0,0.0,0.0,0.0,0.42449000000000003,53.956499999999984,-0.46875,1.5,1.5,9.0
MATPUV_clean,0.0,0.0,0.0,2.0,2.0,-1.1294000000000002,57.50200000000001,-0.9166666666666666,2.0,2.0,12.0,0.0,0.0,0.0,2.0,2.0,-1.1294000000000002,57.50200000000001,-0.9166666666666666,2.0,2.0,12.0
ALIXAU_clean_h,0.6666666666666666,0.0,0.0,0.0,1.3333333333333333,-1.4072666666666667,30.917,-0.6666666666666666,0.0,2.6666666666666665,0.0,0.6666666666666666,0.0,0.0,0.0,1.3333333333333333,-1.4072666666666667,30.917,-0.6666666666666666,0.0,2.6666666666666665,0.0
ENOSAD_clean,0.0,0.0,0.0,4.0,4.0,-2.4377,78.48230000000001,-0.9411764705882353,2.0,4.0,12.0,0.0,0.0,0.0,4.0,4.0,-2.4377,78.48230000000001,-0.9411764705882353,2.0,4.0,12.0
ALOLIX_charged,0.0,0.0,0.0,1.8,1.8,-0.5546200000000002,51.59640000000002,-0.9180555555555555,1.6,1.8,9.6,0.0,0.0,0.0,1.8,1.8,-0.5546200000000002,51.59640000000002,-0.9180555555555555,1.6,1.8,9.6
JODFOZ_clean,0.0,0.0,0.0,1.0,1.0,1.6154999999999997,64.62400000000001,-0.8666666666666667,2.0,2.0,12.0,0.0,0.0,0.0,1.0,1.0,1.6154999999999997,64.62400000000001,-0.8666666666666667,2.0,2.0,12.0
