color_string,hex,starttime,time_stamp,delta_t,delta_t_seconds,r,g,b,clean_name
light pink,#f7e8f5,2020-02-10 19:50:00.000000,2020-02-10 19:50:19.485505,0 days 00:00:19.485505000,19.485505,247,232,245,light pink
brown-red,#50061d,2020-02-10 19:50:19.000000,2020-02-10 19:51:00.974966,0 days 00:00:41.974966000,41.974966,80,6,29,brown red
peach,#f7b578,2020-02-10 19:51:00.000000,2020-02-10 19:51:32.095126,0 days 00:00:32.095126000,32.095126,247,181,120,peach
yellowish yellow,#faeb1f,2020-02-10 19:51:32.000000,2020-02-10 19:51:50.361982,0 days 00:00:18.361982000,18.361982,250,235,31,yellowish yellow
orange red,#f83e03,2020-02-10 20:13:24.000000,2020-02-10 20:13:43.694892,0 days 00:00:19.694892000,19.694892,248,62,3,orange red
faint pink,#fad6fb,2020-02-10 20:13:43.000000,2020-02-10 20:13:56.225403,0 days 00:00:13.225403000,13.225403,250,214,251,faint pink
dull dark black,#3b3b3d,2020-02-10 20:13:56.000000,2020-02-10 20:14:32.428525,0 days 00:00:36.428525000,36.428525,59,59,61,dull dark black
amber,#ee6f0c,2020-02-10 20:14:32.000000,2020-02-10 20:17:15.917019,0 days 00:02:43.917019000,163.917019,238,111,12,amber
greenish-blue,#04efdf,2020-02-10 20:17:15.000000,2020-02-10 20:17:33.497055,0 days 00:00:18.497055000,18.497055,4,239,223,greenish blue
light red,#ea4e52,2020-02-10 20:38:59.000000,2020-02-10 20:39:08.543651,0 days 00:00:09.543651000,9.543651,234,78,82,light red
light purple,#8d47e5,2020-02-10 20:39:08.000000,2020-02-10 20:39:17.580440,0 days 00:00:09.580440000,9.58044,141,71,229,light purple
orange red,#e56132,2020-02-10 20:39:17.000000,2020-02-10 20:45:42.464123,0 days 00:06:25.464123000,385.464123,229,97,50,orange red
deep-blue,#000467,2020-02-10 20:45:42.000000,2020-02-10 20:52:56.375522,0 days 00:07:14.375522000,434.375522,0,4,103,deep blue
ruby red,#b01308,2020-02-10 20:52:56.000000,2020-02-10 20:53:13.435829,0 days 00:00:17.435829000,17.435829,176,19,8,ruby red
dark-violet,#441078,2020-02-10 21:38:00.000000,2020-02-10 21:38:15.018146,0 days 00:00:15.018146000,15.018146,68,16,120,dark violet
white,#ecedf4,2020-02-10 21:38:15.000000,2020-02-10 21:38:25.434743,0 days 00:00:10.434743000,10.434743,236,237,244,white
light-purple,#a578de,2020-02-10 21:38:25.000000,2020-02-10 21:38:42.124713,0 days 00:00:17.124713000,17.124713,165,120,222,light purple
blue violet,#7164d3,2020-02-10 21:38:42.000000,2020-02-10 21:39:33.637861,0 days 00:00:51.637861000,51.637861,113,100,211,blue violet
blue,#1517e0,2020-02-10 21:39:33.000000,2020-02-10 21:39:55.048769,0 days 00:00:22.048769000,22.048769,21,23,224,blue
pale green,#85db8c,2020-02-10 22:11:36.000000,2020-02-10 22:12:15.005789,0 days 00:00:39.005789000,39.005789,133,219,140,pale green
amber,#e19e19,2020-02-10 22:12:15.000000,2020-02-10 22:13:01.889083,0 days 00:00:46.889083000,46.889083,225,158,25,amber
dark-violet,#260574,2020-02-10 22:13:01.000000,2020-02-10 22:13:14.920690,0 days 00:00:13.920690000,13.92069,38,5,116,dark violet
blackish purple,#3a142d,2020-02-10 22:13:14.000000,2020-02-10 22:13:31.197836,0 days 00:00:17.197836000,17.197836,58,20,45,blackish purple
,#130568,,2020-02-10 22:13:52.573427,,,19,5,104,nan
violet,#130568,2020-02-10 22:13:52.000000,2020-02-10 22:13:54.631670,0 days 00:00:02.631670000,2.63167,19,5,104,violet
turquoise blue,#130568,2020-02-10 22:13:54.000000,2020-02-10 22:13:58.552940,0 days 00:00:04.552940000,4.55294,19,5,104,turquoise blue
pale yellow,#130568,2020-02-10 22:13:58.000000,2020-02-10 22:13:58.905857,0 days 00:00:00.905857000,0.905857,19,5,104,pale yellow
greenish-blue,#130568,2020-02-10 22:13:58.000000,2020-02-10 22:13:59.060977,0 days 00:00:01.060977000,1.060977,19,5,104,greenish blue
purple-blue,#130568,2020-02-10 22:13:59.000000,2020-02-10 22:14:01.889814,0 days 00:00:02.889814000,2.889814,19,5,104,purple blue
black purple,#130568,2020-02-10 22:14:01.000000,2020-02-10 22:14:03.739655,0 days 00:00:02.739655000,2.739655,19,5,104,black purple
dark rose,#130568,2020-02-10 22:14:03.000000,2020-02-10 22:14:04.783090,0 days 00:00:01.783090000,1.78309,19,5,104,dark rose
cyan,#14056f,2020-02-10 22:14:04.000000,2020-02-10 22:14:26.602104,0 days 00:00:22.602104000,22.602104,20,5,111,cyan
brown-red,#14056f,2020-02-10 22:14:26.000000,2020-02-10 22:14:33.808083,0 days 00:00:07.808083000,7.808083,20,5,111,brown red
turquoise blue,#100266,2020-02-10 22:14:33.000000,2020-02-10 22:15:02.453262,0 days 00:00:29.453262000,29.453262,16,2,102,turquoise blue
green blue,#089c8f,2020-02-10 22:15:04.000000,2020-02-10 22:15:47.128009,0 days 00:00:43.128009000,43.128009,8,156,143,green blue
pale straw,#d6d290,2020-02-10 22:15:47.000000,2020-02-10 22:16:02.928173,0 days 00:00:15.928173000,15.928173,214,210,144,pale straw
dark blue,#063d94,2020-02-10 22:16:02.000000,2020-02-10 22:16:15.225550,0 days 00:00:13.225550000,13.22555,6,61,148,dark blue
jonquil,#ecea05,2020-02-10 22:16:15.000000,2020-02-10 22:16:47.566717,0 days 00:00:32.566717000,32.566717,236,234,5,jonquil
dark purple,#160277,2020-02-10 22:16:47.000000,2020-02-10 22:16:53.509928,0 days 00:00:06.509928000,6.509928,22,2,119,dark purple
deep brown,#703d02,2020-02-11 09:24:37.000000,2020-02-11 09:25:14.293713,0 days 00:00:37.293713000,37.293713,112,61,2,deep brown
jasmine,#a65345,2020-02-11 09:25:14.000000,2020-02-11 09:25:25.205321,0 days 00:00:11.205321000,11.205321,166,83,69,jasmine
